4023
1 2 3 4
1 3 2 4
1 4 8 2
1 5 2 9
1 6 9 5
1 8 1 7
1 10 9 2
1 11 6 8
1 12 9 2
1 13 4 1
1 14 2 4
1 16 9 5
1 18 8 4
1 19 10 10
1 20 9 6
1 21 5 6
1 22 7 2
1 24 1 8
1 25 5 10
1 28 2 10
1 29 4 8
1 30 9 9
1 32 4 2
1 33 1 8
1 34 2 2
1 35 8 2
1 36 4 5
1 37 3 5
1 38 8 1
1 39 10 5
1 40 1 1
1 41 5 10
1 42 3 2
1 43 1 5
1 46 2 1
1 47 7 5
1 48 6 3
1 50 6 10
1 51 2 5
1 53 10 10
1 54 2 9
1 55 6 6
1 56 1 5
1 57 4 8
1 59 1 10
1 61 3 5
1 62 6 3
1 63 1 9
1 64 1 8
1 66 5 7
1 67 7 8
1 68 5 4
1 69 6 6
1 70 7 4
1 72 5 6
1 73 4 7
1 76 4 1
1 77 4 10
1 78 2 8
1 79 10 3
1 80 7 1
1 82 4 10
1 83 6 1
1 85 2 4
1 86 3 9
1 87 10 5
1 88 8 1
1 89 5 7
1 90 4 2
1 91 1 6
1 92 10 2
1 93 5 6
1 94 8 2
1 95 10 5
1 96 5 4
1 97 2 2
1 98 4 4
1 100 1 1
2 3 1 10
2 4 8 5
2 6 3 10
2 7 6 4
2 8 7 7
2 9 9 2
2 10 10 1
2 11 2 9
2 12 10 3
2 13 2 8
2 14 7 9
2 15 3 3
2 16 1 8
2 17 8 1
2 18 4 4
2 19 9 4
2 21 10 10
2 22 7 6
2 23 6 10
2 25 10 7
2 26 1 3
2 27 7 1
2 28 10 5
2 29 1 5
2 30 6 2
2 31 3 8
2 32 6 5
2 33 6 1
2 34 7 6
2 37 7 8
2 38 5 6
2 39 6 8
2 40 10 7
2 42 4 5
2 43 4 9
2 44 10 2
2 45 4 8
2 46 5 7
2 47 7 7
2 48 6 6
2 49 6 9
2 50 8 3
2 51 5 4
2 52 4 6
2 53 2 4
2 54 4 7
2 55 6 5
2 56 4 2
2 57 5 3
2 58 3 2
2 59 4 10
2 60 4 9
2 62 5 6
2 63 3 3
2 65 4 10
2 66 2 8
2 68 10 9
2 71 3 5
2 73 3 9
2 74 9 2
2 75 10 4
2 76 3 9
2 78 4 1
2 81 2 4
2 82 6 7
2 83 5 3
2 84 8 6
2 85 9 7
2 88 2 3
2 90 2 7
2 91 4 3
2 92 7 10
2 93 9 7
2 94 1 8
2 95 3 6
2 96 5 6
2 100 1 10
3 5 9 9
3 6 2 4
3 7 4 1
3 8 5 1
3 9 9 2
3 10 10 10
3 11 1 8
3 12 6 10
